date,title,url,description,tags
2019-03-25,Cookie Cutter,https://github.com/audreyr/cookiecutter,A command line utility for generating projects from templates,"python,generator,project,dev tool"
2019-03-25,RAML,https://raml.org/,RESTful API Modeling Language (RAML) makes it easy to manage the whole API lifecycle from design to sharing.,"REST,API,Modelling"
2019-03-25,Dash,https://plot.ly/products/dash/,Python framework for dashboard web application based on plotly,"python,framework,dashboard,plotly,web"
2019-03-25,Pandoc,http://pandoc.org,Convert any markdown/markup such as Latex to large variety of formats,"markup,documentation,document,formatting"
2019-03-25,File upload to Cloudinary,https://bilalbudhani.com/upload-multiple-files-to-cloudinary-using-react-dropzone-axios/,Upload multiple files to a cloudinary hosted account.,"FEWD,File Upload,cloudinary,react"
2019-03-25,React,https:reactjs.org,A JavaScript library for building user interfaces,"FEWD,React,Framework,JavaScript"
2019-03-25,Relay,https://facebook.github.io/relay/,A JavaScript framework for building data-driven React applications,"FEWD,Relay,Framework,JavaScript,Data Driven"
2019-03-25,Angular,https://angular.io/,Very powerful front end framework for building SPAs for web and mobile devices.,"FEWD,Framework,Angular,JavaScript"
2019-03-25,StackBlitz,https://stackblitz.com/,"From the website: >The online IDE for web applications. Powered by VS Code. Great for Angular, React, Ionic","FEWD,Tools,VSCode,IDE,Editor"
2019-03-25,Puppeteer,https://github.com/GoogleChrome/puppeteer,For testing front end applications,"FEWD,Tools,Testing"
2019-03-25,Parcel,https://parceljs.org/,A blazingly fast package manager for JS,"FEWD,Tools,Package"
2019-03-25,UseBin,https://usebasin.com/,Form submission service with no backend code required. Free tier available,"Tools,Web Dev,Forms,Online Service"
2020-01-14,Google,https://google.com,A beast by any other name
